avg_refrigerator_price,energy_efficiency_class,is_seasonal_demand,advertising_budget,warranty_period,monthly_refrigerator_sales
120,3,1,500,5,1278
150,2,0,300,3,892
110,3,1,600,6,1415
160,1,0,200,2,684
130,3,1,450,4,1196
140,2,0,350,3,947
100,3,1,700,7,1553
170,1,0,150,1,572
125,3,1,550,5,1336
145,2,0,250,2,834
95,3,1,800,8,1690
180,1,0,100,1,518
85,3,1,900,9,1827
135,2,0,400,4,992
80,3,1,1000,10,1964
190,1,0,50,0,464
75,3,1,1100,11,2101
155,2,0,280,2,867
70,3,1,1200,12,2238
200,1,0,30,0,410
115,3,1,520,5,1302
165,2,0,220,2,798
105,3,1,650,6,1449
175,1,0,180,1,626
122,3,1,480,4,1243
148,2,0,320,3,912
118,3,1,580,5,1365
158,2,0,260,2,843
98,3,1,750,7,1598
185,1,0,120,1,547
112,3,1,530,5,1318
162,2,0,240,2,814
108,3,1,620,6,1432
172,1,0,160,1,602
128,3,1,470,4,1227
142,2,0,340,3,928
114,3,1,560,5,1349
152,2,0,270,2,859
102,3,1,680,7,1485
178,1,0,140,1,583
92,3,1,820,8,1722
188,1,0,90,0,489
88,3,1,880,9,1859
192,1,0,70,0,475
90,3,1,920,9,1906
195,1,0,60,0,461
82,3,1,980,10,2043
198,1,0,40,0,447
78,3,1,1050,11,2180
210,1,0,20,0,423
116,3,1,510,5,1286
168,2,0,210,2,782
106,3,1,640,6,1465
176,1,0,170,1,618
124,3,1,490,4,1261
144,2,0,330,3,936
117,3,1,540,5,1372
154,2,0,290,2,875
99,3,1,720,7,1614
182,1,0,130,1,563
119,3,1,570,5,1398
159,2,0,275,2,849
109,3,1,630,6,1478
173,1,0,165,1,608
129,3,1,460,4,1213
147,2,0,310,3,904
111,3,1,590,5,1412
157,2,0,285,2,865
101,3,1,690,7,1531
183,1,0,135,1,577
91,3,1,810,8,1746
189,1,0,85,0,495
87,3,1,870,9,1883
193,1,0,65,0,481
89,3,1,910,9,1930
196,1,0,55,0,467
81,3,1,970,10,2067
199,1,0,35,0,453
77,3,1,1040,11,2204
212,1,0,15,0,439
113,3,1,505,5,1270
167,2,0,205,2,776
107,3,1,660,6,1499
177,1,0,168,1,612
126,3,1,485,4,1255
146,2,0,325,3,930
121,3,1,525,5,1324
161,2,0,265,2,837
103,3,1,670,7,1517
121,3,1,515,5,1285
149,2,0,315,3,901
111,3,1,610,6,1423
159,1,0,215,2,692
131,3,1,460,4,1204
141,2,0,365,3,956
101,3,1,710,7,1562
169,1,0,165,1,581
126,3,1,560,5,1345
146,2,0,265,2,842
96,3,1,810,8,1700
179,1,0,115,1,527
86,3,1,910,9,1836
136,2,0,410,4,1001
81,3,1,1010,10,1973
189,1,0,65,0,473
76,3,1,1110,11,2110
156,2,0,290,2,876
71,3,1,1210,12,2247
199,1,0,45,0,419
116,3,1,530,5,1312
166,2,0,230,2,801
106,3,1,660,6,1458
174,1,0,190,1,635
123,3,1,495,4,1252
143,2,0,345,3,945
115,3,1,550,5,1354
153,2,0,280,2,862
97,3,1,730,7,1607
181,1,0,140,1,572
113,3,1,540,5,1327
161,2,0,255,2,853
107,3,1,650,6,1469
171,1,0,175,1,621
127,3,1,480,4,1236
145,2,0,335,3,937
119,3,1,570,5,1387
157,2,0,278,2,884
105,3,1,675,7,1494
184,1,0,138,1,592
94,3,1,830,8,1731
187,1,0,95,0,504
89,3,1,890,9,1868
194,1,0,75,0,490
93,3,1,930,9,1915
197,1,0,68,0,476
84,3,1,990,10,2052
201,1,0,38,0,432
79,3,1,1060,11,2189
211,1,0,25,0,428
117,3,1,508,5,1295
163,2,0,225,2,791
104,3,1,645,6,1477
179,1,0,185,1,644
125,3,1,488,4,1244
148,2,0,328,3,921
118,3,1,548,5,1363
164,2,0,268,2,893
100,3,1,705,7,1542
186,1,0,128,1,558
120,3,1,528,5,1335
151,2,0,272,2,850
109,3,1,638,6,1487
175,1,0,162,1,617
130,3,1,458,4,1202
149,2,0,308,3,916
110,3,1,588,5,1401
158,2,0,282,2,874
103,3,1,685,7,1522
188,1,0,132,1,586
95,3,1,805,8,1713
191,1,0,88,0,485
85,3,1,865,9,1849
198,1,0,62,0,471
91,3,1,905,9,1897
202,1,0,52,0,457
83,3,1,965,10,2034
205,1,0,32,0,443
75,3,1,1035,11,2171
213,1,0,18,0,414
114,3,1,512,5,1279
165,2,0,215,2,785
108,3,1,655,6,1488
178,1,0,178,1,633
128,3,1,475,4,1223
147,2,0,318,3,929
122,3,1,535,5,1342
162,2,0,262,2,882
102,3,1,695,7,1551
187,1,0,122,1,567
112,3,1,522,5,1306
155,2,0,277,2,861
106,3,1,648,6,1474
177,1,0,167,1,614
132,3,1,448,4,1191
144,2,0,305,3,908
115,3,1,575,5,1376
168,2,0,258,2,899
104,3,1,668,7,1503
190,1,0,118,1,571
96,3,1,825,8,1740
195,1,0,82,0,499
87,3,1,885,9,1877
200,1,0,58,0,465
92,3,1,925,9,1924
204,1,0,48,0,451
82,3,1,985,10,2061
208,1,0,28,0,437
